Results, Time
22, 123973
34, 121077
29, 121329
28, 120467
30, 120160
29, 121748
27, 122021
30, 119464
28, 121854
28, 122388
28,8000, 28,5000, 121448,1000
2,9257, 2,8373, 1206,3070
