Results, Time
3, 78955
7, 86871
7, 89839
5, 75813
5, 92186
4, 81833
7, 91404
5, 77072
8, 88204
6, 76061
7,1000, 5,7000, 83823,8000
2,1190, 1,4866, 6242,8310
